experiment,validation_scheme,training_window,validation_window,feature_version,tree_count_used,early_stopping,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,f1_at_0_5,top_1_capture,top_5_capture,top_10_capture,role,source_script,note,model_family
logistic_regression_v1,chronological_80_20,first_80_percent,last_20_percent,V1: base transaction features,,False,0.753348,0.144292,0.073846,0.704970,0.133688,0.089321,0.250984,0.420522,fair_baseline_temporal_validation,08_logistic_baseline.py,Re-run and verified without source changes on 2026-08-29.,LogisticRegression
decision_tree_v1,chronological_80_20,first_80_percent,last_20_percent,V1: base transaction features,,False,0.741765,0.119654,0.074135,0.675443,0.133606,0.066437,0.268947,0.415846,fair_baseline_temporal_validation,09_decision_tree_baseline.py,Re-run and verified without source changes on 2026-08-29.,DecisionTree
random_forest_v1,chronological_80_20,first_80_percent,last_20_percent,V1: base transaction features,,False,0.767447,0.152442,0.092962,0.624016,0.161817,0.077510,0.292569,0.455709,fair_baseline_temporal_validation,10_random_forest_baseline.py,Re-run and verified without source changes on 2026-08-29.,RandomForest
xgb_v1_baseline,chronological_80_20,first_80_percent,last_20_percent,V1: base transaction features,300.000000,False,0.780234,0.178955,0.117245,0.564961,0.194190,0.102362,0.317175,0.455955,temporal_validation_development,11_xgboost_baseline.py,Corrected baseline parameters: learning_rate=0.05 and colsample_bytree=0.8.,XGBoost
xgb_v2_frequency,chronological_80_20,first_80_percent,last_20_percent,V2: V1 + train-only frequency encoding,300.000000,False,0.813675,0.208093,0.130009,0.590797,0.213119,0.119094,0.341043,0.475886,temporal_validation_development,12_xgboost_frequency_v2.py,Frequency maps fitted only on the training period.,XGBoost
xgb_v3_C_group,chronological_80_20,first_80_percent,last_20_percent,V3: V2 + anonymous C1-C14,300.000000,False,0.888145,0.465917,0.207407,0.675197,0.317335,0.235974,0.528789,0.649852,temporal_validation_development,14_xgboost_Cgroup_v3.py,Anonymous-field production availability is unverified.,XGBoost
xgb_v4_C_M_group,chronological_80_20,first_80_percent,last_20_percent,V4: V3 + M1-M9,300.000000,False,0.892586,0.468191,0.204366,0.688730,0.315203,0.234744,0.527313,0.655266,temporal_validation_development,15_xgboost_C_M_v4.py,Marginal gain; M group was not retained as the main feature set.,XGBoost
xgb_v5_C_D_300_late,chronological_80_20,first_80_percent,last_20_percent,V5: V3 + D1-D15 + explicit D missing indicators,300.000000,False,0.904296,0.483151,0.211503,0.714813,0.326423,0.246555,0.544537,0.682825,temporal_validation_development,16_xgboost_C_D_v5.py,Main V5 ablation before tree-count selection.,XGBoost
xgb_v5_C_D_414_late,chronological_80_20,first_80_percent,last_20_percent,V5: V3 + D1-D15 + explicit D missing indicators,414.000000,False,0.907598,0.491739,0.231149,0.703002,0.347906,0.247785,0.552165,0.691191,current_main_model_temporal_check,21_xgboost_v5_n414_late_window.py,"414 trees selected on an earlier temporal window, then checked on the late window.",XGBoost
xgb_v5_C_D_300_early,forward_temporal_window,first_60_percent,percent_60_to_80,V5: V3 + D1-D15 + explicit D missing indicators,300.000000,False,0.913853,0.551311,0.219875,0.776404,0.342699,0.229451,0.575580,0.706354,early_temporal_validation,18_xgboost_early_window_v5.py,Earlier forward window; training set is smaller than late-window experiments.,XGBoost
xgb_v5_C_D_early_stopping,forward_temporal_window,first_60_percent,percent_60_to_80,V5: V3 + D1-D15 + explicit D missing indicators,414.000000,True,0.915695,0.557982,0.243555,0.745825,0.367199,0.231620,0.580568,0.708306,tree_count_selection_window,20_xgboost_early_stopping.py,Maximum 1000 trees; early stopping selected 414 using 30-round patience.,XGBoost
xgb_v6_v5_plus_selected_identity,chronological_80_20,first_80_percent,last_20_percent,V6: V5 + selected low-cardinality identity fields,414.000000,False,0.906067,0.491420,0.219376,0.705955,0.334733,0.246555,0.545522,0.682333,identity_ablation_temporal_validation,26_xgboost_v5_identity_v6.py,"V5 plus id_12, id_15, id_35-id_38, and DeviceType; no gain, so identity fields were not retained.",XGBoost
xgb_v5_C_D_random,stratified_random_80_20,random_80_percent,random_20_percent,V5: V3 + D1-D15 + explicit D missing indicators,300.000000,False,0.934268,0.618253,0.223453,0.819744,0.351179,0.260344,0.660779,0.786354,reference_only_not_for_model_selection,17_xgboost_random_v5.py,Optimistic reference: random splitting allows future-like patterns in training data.,XGBoost
